name,date
"Milch-Center ""Dorfheimat"" Prausitz eG
b) Sitz, Ni",02.07.1991
"Milch-Union Oberbayern eG
b) Sitz, Niederlassung,",10.02.1937
"Milchhüsli Wies Verbrauchergenossenschaft eG
b) S",28.08.2008
Milcherzeugergenossenschaft Tannheim und Umgebung,05.12.1958
"Milchverwertungsgenossenschaft Tannheim EG
b) Sit",20.02.1913
"Milchwerk Crailsheim-Dinkelsbühl eG
b) Sitz, Nied",07.06.1935
"Milchwerke Schwaben eG
b) Sitz, Niederlassung, in",15.02.1922
"Zeller Milch eG
b) Sitz, Niederlassung, inländisc",04.05.2012
"Milchwerke Mainfranken eG
b) Sitz, Niederlassung,",15.05.1951
"Tier- und Pflanzenproduktion Ahlum eG
b) Sitz, Ni",10.01.1991
"Agrargenossenschaft Arzberg eG
b) Sitz, Niederlas",16.05.1991
"AGRAR-Genossenschaft ""Asmus Petersen"" Schollene e",28.10.1991
"AUE AGRAR eG
b) Sitz, Niederlassung, inländische",11.04.1991
"Agrar - Genossenschaft eG Seehausen / Altmark
b)",12.11.1991
"Agrar Burgscheidungen eG
b) Sitz, Niederlassung,",28.06.1991
"Agrar e.G. Polleben-Rottelsdorf
b) Sitz, Niederla",08.03.2001
"Agrar eG Könnern
b) Sitz, Niederlassung, inländis",28.02.1991
"Agrar- und Absatzgenossenschaft eG Naumburg
b) Si",18.12.1997
"Agrar- und Beteiligungsunternehmen ""AGROSS"" e.G.",27.06.1991
"Agrar-Genossenschaft Schneidlingen eG
b) Sitz, Ni",08.05.1991
"Agrar-Genossenschaft eG Magdeburg- Nord
b) Sitz,",12.12.1991
"Agrar-Genossenschaft eG Zodel
b) Sitz, Niederlass",13.05.1991
"Agrar-Genossenschaft Rieder e.G.
b) Sitz, Niederl",10.04.1991
"Agrar-Genossenschaft Mühlingen eG
b) Sitz, Nieder",08.03.1991
"Agrar-Genossenschaft Hessen eG
b) Sitz, Niederlas",21.06.1991
"Agrar-Genossenschaft Heinrichsberg eG
b) Sitz, Ni",17.12.1991
"Agrar-Genossenschaft Elbeland eG
b) Sitz, Niederl",25.06.1990
"Agrar-Genossenschaft Ditfurt e.G.
b) Sitz, Nieder",10.04.1991
"Agrar-Genossenschaft Borne eG
b) Sitz, Niederlass",08.05.1991
"Agrar-Genossenschaft ""Krevese-Drüsedau"" eG
b) Sit",05.09.1991
"Agrar-Genossenschaft Amesdorf eG
b) Sitz, Niederl",09.04.1991
"Agrar-Genossenschaft Badeborn e.G.
b) Sitz, Niede",10.04.1991
"Agrar-Genossenschaft Bonese eG
b) Sitz, Niederlas",06.12.1990
"Agrar-Genossenschaft ""Burgberg"" e.G.
b) Sitz, Nie",18.12./20.
"Agrar-Genossenschaft ""Altmärkische Höhe"" eG
b) Si",12.11.1991
"Agrar-Genossenschaft ""Bobritzschtal"" Oberbobritzs",14.12.1992
"Agrar-Genossenschaft ""Bobritzschtal"" Oberbobritzs",14.12.1992
"Agrar-, Handels- u. Produktionsgenossenschaft eG",31.07.1991
"Agrar-Erzeugergemeinschaft Abbendorf eG
b) Sitz,",18.12.1990
"Agrar-Erzeugergemeinschaft Bismark eG
b) Sitz, Ni",05.12.1991
"Agrar-Produktivgenossenschaft Pirna-Cotta eG
b) S",25.10.1990
"Agrargenossenschaft Krusemark eG
b) Sitz, Niederl",19.11.1991
Agrargenossenschaft Schwarzbuntzucht Jeggeleben e,22.11.1991
"Agrargenossenschaft Winterfeld eG
b) Sitz, Nieder",26.11.1991
"Agro-Farm Kleinau eG
b) Sitz, Niederlassung, inlä",27.11.1991
"Allgäuer Tor Agrar e.G.
b) Sitz, Niederlassung, i",25.07.2020
"Bäckerei Munzi eG
b) Sitz, Niederlassung, inländi",18.06.2023
"Vereinigte Agrar eG
b) Sitz, Niederlassung, inlän",13.12.1991
"REWE Süd/Südwest eG
b) Sitz, Niederlassung, inlän",26.10.1903
Mühle und Bäckerei Bärenhecke Raiffeisengenossens,20.08.1898
"REWE-ZENTRALFINANZ eG
b) Sitz, Niederlassung, inl",17.02.1927
"CAG Colmnitzer-Agrar-Genossenschaft e.G.
b) Sitz,",30.10.1990
"Cosmas Agrar eG
b) Sitz, Niederlassung, inländisc",07.12.2017
"Farmer Agrar eG
b) Sitz, Niederlassung, inländisc",07.12.2017
"Fiedlers Agrar Genossenschaft eG
b) Sitz, Niederl",13.05.2022
"Flämingland Agrar eG Boßdorf
b) Sitz, Niederlassu",17.09.1991
"Glücksburg Agrar e.G. Dixförda
b) Sitz, Niederlas",27.12.1990
"Heide-Agrar Erzeugergemeinschaft ""GEMIMA"" Letzlin",28.05.1991
"Mansfelder Agrar eG
b) Sitz, Niederlassung, inlän",30.06.1991
"Lebensmittel Central Bähr eG
b) Sitz, Niederlassu",29.03.2017
"Häge eG Agrar
b) Sitz, Niederlassung, inländische",03.07.2021
"Absatzgenossenschaft Unterrieden e.G. ""Witzenhäus",10.05.1969
"Absatzgenossenschaft Unterrieden e.G. ""Witzenhäus",10.05.1969
Absatzgenossenschaft für Obst und Gartenbauerzeug,20.05.1954
"Agrar- und Absatzgenossenschaft eG Naumburg
b) Si",18.12.1997
Anbau- und Absatzgenossenschaft Langensendelbach,20.12.1953
"BAG Allgäu-Oberschwaben eG
b) Sitz, Niederlassung",05.08.1919
"BAGeno Raiffeisen eG
b) Sitz, Niederlassung, inlä",08.02.1942
"Buir-Bliesheimer Agrargenossenschaft eG
b) Sitz,",02.04.1901
"Bezugs- und Absatzgenossenschaft e. G.
b) Sitz, N",02.12.1968
"Bezugs- und Absatzgenossenschaft Neunkirchen eG
b",haftsregist
BAG-Raiffeisen eG Bezugs- und Absatzgenossenschaf,30.01.1921
"GS Die Genossenschaft eG
b) Sitz, Niederlassung,",13.11.1889
Landwirtschaftliche Bezugs- und Absatzgenossensch,21.10.1941
Bäuerliche Bezugs- und Absatzgenossenschaft Bottr,01.04.1902
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.02.1947
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.04.1992
Landwirtschaftliche Bezugs- und Absatzgenossensch,haftsregist
"OGA Soest Münster eG
b) Sitz, Niederlassung, inlä",18.02.1948
Landwirtschaftliche Erzeuger- und Absatzgenossens,12.12.1990
Obst- und Gemüse-Absatzgenossenschaft Nordbaden e,haftsregist
Raiffeisen - Warengenossenschaft Hatten-Huntlosen,28.11.1889
"Raiffeisen Emscher-Lippe eG
b) Sitz, Niederlassun",17.12.1970
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",16.01.1900
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",12.10.1902
"Raiffeisen Beckum eG
b) Sitz, Niederlassung, inlä",27.09.1968
"Raiffeisen Bezugs- und Absatzgenossenschaft eG.
b",20.03.1967
"Raiffeisen Mettingen eG
b) Sitz, Niederlassung, i","1908
Zulet"
"Raiffeisen Ostmünsterland eG
b) Sitz, Niederlassu",21.02.1961
"Raiffeisen Münster LAND eG
b) Sitz, Niederlassung",19.08.1910
"Raiffeisen Recke-Steinbeck-Westerkappeln eG
b) Si",24.08.1902
"Raiffeisen Saerbeck-Hembergen eG
b) Sitz, Niederl",11.05.1902
"Raiffeisen Schwalm-Nette eG
b) Sitz, Niederlassun",30.12.1919
"Absatzgenossenschaft Unterrieden e.G. ""Witzenhäus",10.05.1969
"Absatzgenossenschaft Unterrieden e.G. ""Witzenhäus",10.05.1969
Absatzgenossenschaft für Obst und Gartenbauerzeug,20.05.1954
"Agrar- und Absatzgenossenschaft eG Naumburg
b) Si",18.12.1997
Anbau- und Absatzgenossenschaft Langensendelbach,20.12.1953
"BAG Allgäu-Oberschwaben eG
b) Sitz, Niederlassung",05.08.1919
BAG-Raiffeisen eG Bezugs- und Absatzgenossenschaf,30.01.1921
Bäuerliche Bezugs- und Absatzgenossenschaft Bottr,01.04.1902
"Buir-Bliesheimer Agrargenossenschaft eG
b) Sitz,",02.04.1901
"Bezugs- und Absatzgenossenschaft e. G.
b) Sitz, N",02.12.1968
"BAGeno Raiffeisen eG
b) Sitz, Niederlassung, inlä",08.02.1942
"Bezugs- und Absatzgenossenschaft Neunkirchen eG
b",haftsregist
"GS Die Genossenschaft eG
b) Sitz, Niederlassung,",13.11.1889
Landwirtschaftliche Bezugs- und Absatzgenossensch,haftsregist
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.04.1992
Landwirtschaftliche Bezugs- und Absatzgenossensch,23.02.1947
Landwirtschaftliche Bezugs- und Absatzgenossensch,21.10.1941
Landwirtschaftliche Erzeuger- und Absatzgenossens,12.12.1990
"OGA Soest Münster eG
b) Sitz, Niederlassung, inlä",18.02.1948
Obst- und Gemüse-Absatzgenossenschaft Nordbaden e,haftsregist
Raiffeisen - Warengenossenschaft Hatten-Huntlosen,28.11.1889
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",12.10.1902
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",16.01.1900
"Raiffeisen Mettingen eG
b) Sitz, Niederlassung, i","1908
Zulet"
"Raiffeisen Emscher-Lippe eG
b) Sitz, Niederlassun",17.12.1970
"Raiffeisen Bezugs- und Absatzgenossenschaft eG.
b",20.03.1967
"Raiffeisen Beckum eG
b) Sitz, Niederlassung, inlä",27.09.1968
"Raiffeisen Ostmünsterland eG
b) Sitz, Niederlassu",21.02.1961
"Raiffeisen Münster LAND eG
b) Sitz, Niederlassung",19.08.1910
"Raiffeisen Warengenossenschaft Biblis eG
b) Sitz,",20.03.1934
"Raiffeisen Recke-Steinbeck-Westerkappeln eG
b) Si",24.08.1902
"Raiffeisen Saerbeck-Hembergen eG
b) Sitz, Niederl",11.05.1902
"Raiffeisen Sauer- Siegerland eG
b) Sitz, Niederla",27.08.2008
"Raiffeisen Schwalm-Nette eG
b) Sitz, Niederlassun",30.12.1919
"Raiffeisen Warengenossenschaft eG
b) Sitz, Nieder",20.11.1921
"Raiffeisen-Warengenossenschaft Gersprenztal eG
b)",12.09.1915
"Raiffeisen Wittgenstein-Hallenberg eG
b) Sitz, Ni",02.11.1968
Raiffeisen-Warengenossenschaft Essen-Burgaltendor,10.11.1945
"Raiffeisen-Warengenossenschaft Haltern eG
b) Sitz",20.06.1969
"Raiffeisen-Warengenossenschaft Südharz eG
b) Sitz",haftsregist
"Raiffeisen-Warengenossenschaft Stendal eG
b) Sitz",09.08.1990
Raiffeisen-Warengenossenschaft Holtrop-Akelsbarg,14.03.1924
"Raiffeisen-Warengenossenschaft Hunte-Weser eG
b)",22.09.1889
"Raiffeisen-Warengenossenschaft Lienen eG
b) Sitz,",12.03.1916
Raiffeisen-Warengenossenschaft Niedersachsen Mitt,haftsregist
"Raiffeisen-Warengenossenschaft e.G.
b) Sitz, Nied",27.06.1920
"Raiffeisen-Warengenossenschaft eG Eitorf
b) Sitz,",04.03.1951
"Raiffeisen-Warengenossenschaft eG.
b) Sitz, Niede",13.01.1923
Saale Obst Erzeuger- und Absatzgenossenschaft eG,18.07.1990
"Verein Ostfriesischer Stammviehzüchter eG
b) Sitz",29.07.1963
"Vitfrisch Gemüse-Vertrieb eG
b) Sitz, Niederlassu",24.02.1948
WESTMARKT Raiffeisen-Warengenossenschaft eG Bad L,11.03.1951
"Wohnungsgenossenschaft Fröndenberg eG
b) Sitz, Ni",01.02.1906
"gabe des aktuellen Registerinhalts -
Abruf vom 11.",be des aktu
"Baden-Badener Weinkontor eG
b) Sitz, Niederlassun",14.02.1977
"Agrar-, Handels- u. Produktionsgenossenschaft eG",31.07.1991
"Affentaler Weinkontor eG
b) Sitz, Niederlassung,",12.07.1974
"Agrargenossenschaft Naundorf-Niedergoseln eG
b) S",14.09.1991
"Agrargenossenschaft Arzberg eG
b) Sitz, Niederlas",16.05.1991
"GHC Getränke-Handels-Cooperation eG
b) Sitz, Nied",haftsregist
"Getränke-Ring eG
b) Sitz, Niederlassung, inländis",14.01.1960
"Glottertäler Weinhaus eG
b) Sitz, Niederlassung,",15.07.1958
"Habitat Weine eG
b) Sitz, Niederlassung, inländis",01.06.2021
"LAUFFENER WEINGÄRTNER eG
b) Sitz, Niederlassung,",07.04.1935
"LPG Tierproduktion ""DSF""
b) Sitz, Niederlassung,",26.07.1952
"weinColl e.G.
b) Sitz, Niederlassung, inländische",21.03.2012
"Weinkeller Wiesloch eG.
b) Sitz, Niederlassung, i",02.05.1954
"Weinhof Kippenheim eG
b) Sitz, Niederlassung, inl",26.03.1979
"Weinheimat Württemberg eG
b) Sitz, Niederlassung,",14.09.1988
"Weingärtnergenossenschaft Sternenfels eG
b) Sitz,",30.05.1950
"Weingärtnergenossenschaft Korb eG
b) Sitz, Nieder",15.06.1930
"Weingärtnergenossenschaft Knittlingen eG
b) Sitz,",05.04.1930
"Weingärtnergenossenschaft Hohenneuffen-Teck eG
b)",09.05.1948
"Weingärtnergenossenschaft Diefenbach e.G.
b) Sitz",12.07.1934
"Weingärtner Markelsheim eG
b) Sitz, Niederlassung",24.11.1940
"Weingärtner Freudenstein-Hohenklingen eG
b) Sitz,",26.06.1921
"Wein.Im.Puls Junges Württemberg eG
b) Sitz, Niede",01.04.2021
Wein- und Vertriebsgenossenschaft eG Schriesheim,03.10.1969
Wein- und Vertriebsgenossenschaft Sasbach am Kais,22.07.1971
"Landwirtschaftliche Produktionsgenossenschaft ""Se",haftsregist
"Leisniger Agrargenossenschaft e.G.
b) Sitz, Niede",19.03.1991
"Opfinger Winzer eG
b) Sitz, Niederlassung, inländ",02.03.1952
"Perspektive Wein eG
b) Sitz, Niederlassung, inlän",01.12.2005
"Pfälzer Weinkontor eG
b) Sitz, Niederlassung, inl",02.04.1976
"Polkenberger Agrargenossenschaft eG
b) Sitz, Nied",15.05.1991
"Produktionsgenossenschaft Buchgestaltung
b) Sitz,",01.07.1990
"Produktionsgenossenschaft Holz Magdeburg eG
b) Si",05.05.1990
"Produktionsgenossenschaft Rosenhain e.G.
b) Sitz,",18.12.1990
"Produktionsgenossenschaft des Bauhandwerks ""Vorwä",haftsregist
Produktionsgenossenschaft des Brunnenbauer- und I,haftsregist
Produktionsgenossenschaft des Fleischerhandwerks,23.09.1957
"Produktionsgenossenschaft des Handwerks ""Funkwerk",haftsregist
"Produktionsgenossenschaft des Handwerks ""Propanga",21.02.1973
Produktionsgenossenschaft des Schlosserhandwerks,21.06.1958
"Produktionsgenossenschaft des Tischlerhandwerks """,11.12.1958
"Reinsdorfer Agrargenossenschaft eG
b) Sitz, Niede",21.03.1991
"Schloßgut Ebringen eG
b) Sitz, Niederlassung, inl",06.12.1985
"Schokoring Getränke und Süßwaren eG
b) Sitz, Nied",08.08.1959
Südpfalz-Leergut Vereinigung zur Wiederaufbereitu,01.09.1981
"Tier- und Pflanzenproduktion Ahlum eG
b) Sitz, Ni",10.01.1991
"WVG Wein-Vertriebs-Gesellschaft eG
b) Sitz, Niede",10.06.2009
"Wein & Hof Hügelheim eG
b) Sitz, Niederlassung, i",27.04.1952
"Wein & Vertrieb Offenburg Rebland eG.
b) Sitz, Ni",31.08.1959
"Wein und Vertrieb Meersburg eG
b) Sitz, Niederlas",31.07.1964
Wein- und Vertriebsgenossenschaft Achkarren im Ka,26.08.1958
"Alte Molkerei Kaierde eG
b) Sitz, Niederlassung,",12.11.2014
"Elsterland Milchliefergenossenschaft eG
b) Sitz,",27.03.1991
"Bayernland eG
b) Sitz, Niederlassung, inländische",27.03.1930
"Erzeugergroßmarkt Kempen eG
b) Sitz, Niederlassun",27.11.1936
"Erzeugergroßmarkt Langförden-Oldenburg eG
b) Sitz",haftsregist
"Franken-Gemüse Knoblauchsland eG
b) Sitz, Niederl",07.01.1972
"Goldsteig Käserei Plattling eG
b) Sitz, Niederlas",16.07.1927
"Frischdienst Berchtesgadener Land Chiemgau eG
b)",26.11.1963
"Erzeugergroßmarkt Südbaden eG
b) Sitz, Niederlass",10.05.1947
"Hochwald Milch eG
b) Sitz, Niederlassung, inländi",31.01.1932
"Hohenloher Molkerei eG
b) Sitz, Niederlassung, in",01.09.1926
"Milcherfassung Uelzena eG
b) Sitz, Niederlassung,",haftsregist
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",02.10.1910
"Milchliefergenossenschaft Thedinghausen eG
b) Sit",haftsregist
"Milchlieferungsgenossenschaft Wallenrod eG
b) Sit",30.07.1975
"Milchwerk Crailsheim-Dinkelsbühl eG
b) Sitz, Nied",07.06.1935
