CVR-nummer/REG-nummer,Startdato,Ophørsdato,Navn,Adresse,Postnr.,By,Virksomhedsform,Hovedbranche,Telefonnr,Email,Reklamebeskyttet
10931088,01/11/1970,31/12/2009,Torsted - Hover Præstegårdskasse,"C/O vestjyskBANK, C/O vestjyskBANK - Bredgade 4 - 6960 Hvide Sande",6960,Hvide Sande,Forening,015000 Blandet drift,,,Nej
28948905,29/08/2005,,Bredholmforeningen af 1887,"C/O Morten Brink Mogensen, C/O Morten Brink Mogensen - Pletkærvej 4 - 5943 Strynø",5943,Strynø,Forening,014200 Avl af andet kvæg og bøfler,60245195,mortenbrink@hotmail.com,Nej
19616975,09/10/1996,,NØRRESKOV GRÆSNINGSLAUG,"C/O Søren Gammelgaard, C/O Søren Gammelgaard - Naldmose 8 - 6440 Augustenborg",6440,Augustenborg,Forening,014200 Avl af andet kvæg og bøfler,30112286,soerengammelgaard@hotmail.com,Ja
32659810,01/01/1981,01/01/2002,VIKARORDNINGEN V/NIELS HENRIK SØRENSEN POSTBOX 206,Industrivej 7 - 7760 Hurup Thy,7760,Hurup Thy,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
22864815,29/01/1970,30/06/2005,VESTJYSK VIKARORDNING,Nygade 56 - 6900 Skjern,6900,Skjern,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
48561411,01/04/1970,30/06/1997,SLAGTERIERNES INSEMINERINGSTJ,Strandvejen 7 - 7700 Thisted,7700,Thisted,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
25242734,28/10/1999,30/06/2000,Hesteinternatet Af 1999,Søbyvej 27 - Gylling - 8300 Odder,8300,Odder,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
70208210,01/10/1978,30/09/1999,HADERSELV ØSTERAMTS VIKARORDNING,Aastrupvej 36 - 6100 Haderslev,6100,Haderslev,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
61236910,01/01/1982,31/12/2000,AALBORG AMTS VIKARORDNING,Hobrovej 437 - 9200 Aalborg SV,9200,Aalborg SV,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
61066217,01/10/1978,31/12/2005,Vikarservice Vendsyssel Nord,Ålborgvej 92 - 9800 Hjørring,9800,Hjørring,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
48412319,30/05/1974,31/12/2003,NORDVESTSJÆLLANDS VIKARSERVICE,Ringstedvej 139 - 4300 Holbæk,4300,Holbæk,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
27771076,01/05/2004,31/12/2006,Alslev Pony og Junior Rideklub,"C/O Kasserer Susanne Lykke Dam, C/O Kasserer Susanne Lykke Dam - Visselbjergvej 25 - Alslev - 6800 Varde",6800,Varde,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
61429328,01/10/1981,30/04/2001,MIDTJYSK VIKARORDNING,Asmildklostervej 11 - 8800 Viborg,8800,Viborg,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
84787213,25/09/1978,30/11/1999,MIDTJYSK VIKARORDNING,Sandgaardsvej 14 - 8620 Kjellerup,8620,Kjellerup,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
55296316,01/01/1976,31/07/2000,HOBRO VIKARSERVICE,Horsøvej 11 - 9500 Hobro,9500,Hobro,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
71490912,01/10/1978,01/01/2002,TREKANTENS LANDBRUGSVIKAR SERVICE,Niels Finsensvej 20 - 7100 Vejle,7100,Vejle,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
12708491,01/11/1988,30/06/1999,HESTEPENSION BANNERSLUND,"C/O KASSERER MONA DAARBAK, C/O KASSERER MONA DAARBAK - Digetsvej 51 - 9970 Strandby",9970,Strandby,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
32976530,01/08/2010,04/07/2022,Græsningslauget Skovjorden,Kohavegyden 21 - Nr Broby - 5672 Broby,5672,Broby,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
28948905,29/08/2005,,Bredholmforeningen af 1887,"C/O Morten Brink Mogensen, C/O Morten Brink Mogensen - Pletkærvej 4 - 5943 Strynø",5943,Strynø,Forening,014200 Avl af andet kvæg og bøfler,60245195,mortenbrink@hotmail.com,Nej
19616975,09/10/1996,,NØRRESKOV GRÆSNINGSLAUG,"C/O Søren Gammelgaard, C/O Søren Gammelgaard - Naldmose 8 - 6440 Augustenborg",6440,Augustenborg,Forening,014200 Avl af andet kvæg og bøfler,30112286,soerengammelgaard@hotmail.com,Ja
32659810,01/01/1981,01/01/2002,VIKARORDNINGEN V/NIELS HENRIK SØRENSEN POSTBOX 206,Industrivej 7 - 7760 Hurup Thy,7760,Hurup Thy,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
22864815,29/01/1970,30/06/2005,VESTJYSK VIKARORDNING,Nygade 56 - 6900 Skjern,6900,Skjern,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
48561411,01/04/1970,30/06/1997,SLAGTERIERNES INSEMINERINGSTJ,Strandvejen 7 - 7700 Thisted,7700,Thisted,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
25242734,28/10/1999,30/06/2000,Hesteinternatet Af 1999,Søbyvej 27 - Gylling - 8300 Odder,8300,Odder,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
70208210,01/10/1978,30/09/1999,HADERSELV ØSTERAMTS VIKARORDNING,Aastrupvej 36 - 6100 Haderslev,6100,Haderslev,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
61236910,01/01/1982,31/12/2000,AALBORG AMTS VIKARORDNING,Hobrovej 437 - 9200 Aalborg SV,9200,Aalborg SV,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
61066217,01/10/1978,31/12/2005,Vikarservice Vendsyssel Nord,Ålborgvej 92 - 9800 Hjørring,9800,Hjørring,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
48412319,30/05/1974,31/12/2003,NORDVESTSJÆLLANDS VIKARSERVICE,Ringstedvej 139 - 4300 Holbæk,4300,Holbæk,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
27771076,01/05/2004,31/12/2006,Alslev Pony og Junior Rideklub,"C/O Kasserer Susanne Lykke Dam, C/O Kasserer Susanne Lykke Dam - Visselbjergvej 25 - Alslev - 6800 Varde",6800,Varde,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
61429328,01/10/1981,30/04/2001,MIDTJYSK VIKARORDNING,Asmildklostervej 11 - 8800 Viborg,8800,Viborg,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
84787213,25/09/1978,30/11/1999,MIDTJYSK VIKARORDNING,Sandgaardsvej 14 - 8620 Kjellerup,8620,Kjellerup,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
55296316,01/01/1976,31/07/2000,HOBRO VIKARSERVICE,Horsøvej 11 - 9500 Hobro,9500,Hobro,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
71490912,01/10/1978,01/01/2002,TREKANTENS LANDBRUGSVIKAR SERVICE,Niels Finsensvej 20 - 7100 Vejle,7100,Vejle,Forening,014200 Servicevirksomhed i forbindelse med husdyravl undtagen dyrlægevirksomhed,,,Nej
12708491,01/11/1988,30/06/1999,HESTEPENSION BANNERSLUND,"C/O KASSERER MONA DAARBAK, C/O KASSERER MONA DAARBAK - Digetsvej 51 - 9970 Strandby",9970,Strandby,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
32976530,01/08/2010,04/07/2022,Græsningslauget Skovjorden,Kohavegyden 21 - Nr Broby - 5672 Broby,5672,Broby,Forening,014200 Avl af andet kvæg og bøfler,,,Nej
18936593,01/12/1993,,STØTTEFORENINGEN TORNSBJERGGÅRD,Tornsbjergvej 98 - Hadrup - 8350 Hundslund,8350,Hundslund,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",86550405,,Nej
12853815,01/01/1970,,FORENINGEN FOR BEPLANTNING,"C/O Harry Sten Pedersen, C/O Harry Sten Pedersen - Nåleøjet 19 - 9310 Vodskov",9310,Vodskov,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",,toveogharrypedersen@gmail.com,Ja
21524735,01/01/1999,,HÆKPLANTEKLUBBEN,"C/O SEGES L&F, C/O SEGES L&F - Agro Food Park 15 - 8200 Aarhus N",8200,Aarhus N,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",87405018,mbr@lf.dk,Nej
13931038,01/01/1990,31/12/2008,ØSTHIMMERLANDS LÆPLANTNINGSLAUG,Ringvejen 8 - 9560 Hadsund,9560,Hadsund,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",,,Nej
77628355,01/09/1980,31/12/2013,KALANCHOE KLUBBEN,"C/O DEG GreenTeam, C/O DEG GreenTeam - Hvidkærvej 29 - Højme - 5250 Odense SV",5250,Odense SV,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",,,Nej
15259639,01/04/1990,30/06/2009,ARGYRANTHEMUM FRUTESCENS-KLUBBEN,"C/O DEG GreenTeam, C/O DEG GreenTeam - Hvidkærvej 29 - Højme - 5250 Odense SV",5250,Odense SV,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",,,Nej
16377635,01/07/1992,25/03/2019,Potteroseklubben,"C/O Michael Larsen, C/O Michael Larsen - Brogårdsvej 66 - Bellinge - 5250 Odense SV",5250,Odense SV,Forening,"011300 Dyrkning af grøntsager og meloner, rødder og rodknolde",,,Nej
43165631,01/04/2022,29/09/2023,Dødsboet efter Tage Andersen,"C/O Advokat Carsten Kjeldsen, C/O Advokat Carsten Kjeldsen - Kirkegade 1 - 9600 Aars",9600,Aars,Forening,014610 Avl af smågrise,,,Nej
39473704,10/04/2018,,Qaqortoq Blomst & Gøgl,"C/O BrianJuhl, C/O BrianJuhl - Alleriisanngivit - Postboks 3920 - 3920 Qaqortoq",3920,Qaqortoq,Forening,011900 Dyrkning af andre etårige afgrøder,299494644,brianjuhl@hotmail.com,Ja
28467192,31/03/2005,,Lyø Rev Ejerlaug,"C/O Peter Bjarne Hansen, C/O Peter Bjarne Hansen - Lyø Strandvej 4 - 5601 Lyø",5601,Lyø,Forening,011900 Dyrkning af andre etårige afgrøder,,,Nej
68600650,25/04/1968,,ÅDUM HUSMANDSFORENING/ FENNEUDVALGET,"C/O Jens Lindby, C/O Jens Lindby - Odderupvej 10 - Ådum - 6880 Tarm",6880,Tarm,Forening,011900 Dyrkning af andre etårige afgrøder,21990378,LindbyJens@gmail.com,Nej
25235282,01/01/2000,,Praktisk Medhjælper Uddannelse (PMU) Lyngsågård mm,"C/O P M U, C/O P M U - Ole Rømers Vej 4A - 9870 Sindal",9870,Sindal,Forening,011900 Dyrkning af andre etårige afgrøder,96781400,info@pmu.dk,Nej
32029353,23/02/2009,15/01/2015,Danske Økologiske Slagtekyllingeproducenter,"C/O Landbrug & Fødevarer, C/O Landbrug & Fødevarer - Axeltorv 3 - 1609 København V",1609,København V,Forening,014700 Fjerkræavl,,,Nej
16980889,01/01/1993,30/06/2000,4H-GÅRDEN,Harpelundevej 58 - 4912 Harpelunde,4912,Harpelunde,Forening,012400 Dyrkning af kernefrugter og stenfrugter,,,Nej
27750850,15/05/2004,31/12/2011,Den Fynske Frugthave,"C/O Mette Meldgaard, C/O Mette Meldgaard - Korsvejen 9 - Strynø - 5900 Rudkøbing",5900,Rudkøbing,Forening,012400 Dyrkning af kernefrugter og stenfrugter,,,Nej
16980889,01/01/1993,30/06/2000,4H-GÅRDEN,Harpelundevej 58 - 4912 Harpelunde,4912,Harpelunde,Forening,012400 Dyrkning af kernefrugter og stenfrugter,,,Nej
27750850,15/05/2004,31/12/2011,Den Fynske Frugthave,"C/O Mette Meldgaard, C/O Mette Meldgaard - Korsvejen 9 - Strynø - 5900 Rudkøbing",5900,Rudkøbing,Forening,012400 Dyrkning af kernefrugter og stenfrugter,,,Nej
31532507,01/01/2008,,Slyngcenter Hobro,Ølsvej 46 - Hald-Tostrup - 9500 Hobro,9500,Hobro,Forening,014920 Avl af pelsdyr mv.,20232780,,Nej
31339405,01/01/2008,,Erhvervsbiavlerne,"C/O Henrik Kjelkvist, C/O Henrik Kjelkvist - Lillemarken 1 - 4000 Roskilde",4000,Roskilde,Forening,014920 Avl af pelsdyr mv.,46383700,hek@agrovi.dk,Ja
32516653,01/11/2009,,Slagelse Biavlerforeningen,"C/O Arne Egelunn Nielsen, C/O Arne Egelunn Nielsen - Præstevænget 13 - 4241 Vemmelev",4241,Vemmelev,Forening,014920 Avl af pelsdyr mv.,,biarne@vemmelev.net,Ja
32465226,13/10/2011,31/12/2014,GRØNLANDS BIAVLERFORENING,"C/O v/ Ole Guldager, C/O v/ Ole Guldager - Narssarssuaq - Postboks 46 - 3923 Narsarsuaq",3923,Narsarsuaq,Forening,014920 Avl af pelsdyr mv.,,,Nej
31196329,01/01/2008,30/11/2012,Mors Slyngcenter,Hesterøroddevej 87 - 7990 Øster Assels,7990,Øster Assels,Forening,014920 Avl af pelsdyr mv.,,,Nej
19355616,01/04/1964,,DANSK DYREVÆRN AALBORG,Råhøj 40 - 9240 Nibe,9240,Nibe,Forening,014910 Kenneler,98341233,,Nej
84594350,03/07/1967,,GRÆNSEEGNENS HOLSTENER HESTEAVLSFORENING,"C/O Egon Jessen, C/O Egon Jessen - Grøngrøftvej 10 - Grøngrøft - 6200 Aabenraa",6200,Aabenraa,Forening,014300 Avl af heste og dyr af hestefamilien,74659556,egonjessen@hotmail.dk,Ja
87224058,01/12/1987,,S K O SPORTSRIDEKLUBBEN FOR KLARUP OG OMEGN,Kragevej 15 - 9270 Klarup,9270,Klarup,Forening,014300 Avl af heste og dyr af hestefamilien,26827055,bestyrelsen@s-k-o.dk,Ja
68093651,01/01/1977,28/02/2022,AULUM HESTEAVLSFORENING,"C/O Kass. Søren Bull, C/O Kass. Søren Bull - Røddingvej 19 - 7480 Vildbjerg",7480,Vildbjerg,Forening,014300 Avl af heste og dyr af hestefamilien,,,Nej
53282717,01/01/1901,,BYGGESELSKABET BORGERGÅRDEN,"C/O Lejerbo, C/O Lejerbo - Gammel Køge Landevej 26 - 2500 Valby",2500,Valby,Forening,412000 Opførelse af bygninger,38121233,kib@lejerbo.dk,Nej
19986101,01/03/1997,,Hou Digelag,"C/O Allan Lund, C/O Allan Lund - Alpetoppen 26 - 6000 Kolding",6000,Kolding,Forening,412000 Opførelse af bygninger,54347901,allan@vikaer-lund.dk,Ja
28825242,10/06/2005,,Foreningen Hirtshals Marina,"C/O Hans Christensen, C/O Hans Christensen - Peder Rimmensgade 5 - 9850 Hirtshals",9850,Hirtshals,Forening,412000 Opførelse af bygninger,40271882,chr@c.dk,Nej
21253189,01/01/1998,,ØKOSAMFUNDET DYSSEKILDE,Solen 15 - 3390 Hundested,3390,Hundested,Forening,412000 Opførelse af bygninger,47987026,,Ja
88296516,06/12/1979,,ARDEN SPORTS RIDEKLUB,"C/O Arne Bartholomæussen, C/O Arne Bartholomæussen - Brovej 9 - 9510 Arden",9510,Arden,Forening,016200 Serviceydelser i forbindelse med husdyravl,98561421,,Nej
25064356,01/12/1999,,Vestjydsk Charolaisforening Marts 1999,"C/O Ivan Raunholt, C/O Ivan Raunholt - Gabsvej 2 - 7490 Aulum",7490,Aulum,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
68984750,01/01/1983,,STORE KÆR OG LILLE KÆR ENGE,"C/O Josianne l. Kirk, C/O Josianne l. Kirk - Engdraget 6 - 6940 Lem St",6940,Lem St,Forening,016200 Serviceydelser i forbindelse med husdyravl,,lkirkmail@gmail.com,Ja
25025776,01/08/1990,,SPS-ip Siunnersorteqarfia,Augo Lyngesvej 1B - Postboks 229 - 3920 Qaqortoq,3920,Qaqortoq,Forening,016200 Serviceydelser i forbindelse med husdyravl,641206,sps@sava.gl,Nej
36581980,25/03/2015,,Aabrinken Kogræsser- og Naturplejeforening,"C/O Mogens Hestbæk, C/O Mogens Hestbæk - Ole Rømers Gade 75 - 8000 Aarhus C",8000,Aarhus C,Forening,016200 Serviceydelser i forbindelse med husdyravl,40442201,mail@aako.dk,Ja
38832646,01/01/2017,,Dansk Blåkvæg,"C/O Anders Peter Vestergård Laursen, C/O Anders Peter Vestergård Laursen - Nykirkevej 2 - 7173 Vonge",7173,Vonge,Forening,016200 Serviceydelser i forbindelse med husdyravl,,karenborupth@gmail.com,Ja
21330086,01/12/1998,,UDVALGET FOR ØKOLOGISK GRÆSNING,Juelstrupparken 10A - 9530 Støvring,9530,Støvring,Forening,016200 Serviceydelser i forbindelse med husdyravl,98230193,ama@nfplus.dk,Ja
32813305,08/04/2010,,European Dairy Farmers - Danmark (EDF Danmark),Billundvej 3 - 6500 Vojens,6500,Vojens,Forening,016200 Serviceydelser i forbindelse med husdyravl,73202361,jtb@slf.dk,Ja
14917772,01/04/1991,30/06/2018,HATTING - KS,Oensvej 48 - 8700 Horsens,8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
39368412,01/06/1972,31/12/2016,B S J BORNHOLMS SVINE INSEMINERING,Rønnevej 1 - 3720 Aakirkeby,3720,Aakirkeby,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
29249261,15/02/2006,31/12/2010,Økologiske Sommeraftener,"C/O Sjællandske Familielandbrug, C/O Sjællandske Familielandbrug - Jættevej 50 - 4100 Ringsted",4100,Ringsted,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
19588092,01/04/1996,30/06/2008,LÆPLANTNINGSLAUG 9624,"C/O Økonomikonsulent Georg Hansen, C/O Økonomikonsulent Georg Hansen - Elmegården 2 - 4450 Jyderup",4450,Jyderup,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
33533500,24/03/2011,28/02/2022,onFARM,Kpt Andersens Gade 38 - 8700 Horsens,8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Ja
17518941,01/01/1994,30/06/2014,Landbrugets Hjemmeservice,"C/O Ulla Skov, C/O Ulla Skov - Rønnevej 1 - 3720 Aakirkeby",3720,Aakirkeby,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
19945790,18/03/1997,07/01/2015,HORSENS OG OMEGNS AVLS- OG INSEMINERINGSGRUPPE FOR BIAVL,"C/O Jens Bagge, C/O Jens Bagge - Tremhøjvej 11 - 8700 Horsens",8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
40087745,01/07/2018,03/07/2019,"Kødkvægsforeningen for Thy,Mors og Hanherred",Kærupvej 83 - 7741 Frøstrup,7741,Frøstrup,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Ja
88296516,06/12/1979,,ARDEN SPORTS RIDEKLUB,"C/O Arne Bartholomæussen, C/O Arne Bartholomæussen - Brovej 9 - 9510 Arden",9510,Arden,Forening,016200 Serviceydelser i forbindelse med husdyravl,98561421,,Nej
25064356,01/12/1999,,Vestjydsk Charolaisforening Marts 1999,"C/O Ivan Raunholt, C/O Ivan Raunholt - Gabsvej 2 - 7490 Aulum",7490,Aulum,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
68984750,01/01/1983,,STORE KÆR OG LILLE KÆR ENGE,"C/O Josianne l. Kirk, C/O Josianne l. Kirk - Engdraget 6 - 6940 Lem St",6940,Lem St,Forening,016200 Serviceydelser i forbindelse med husdyravl,,lkirkmail@gmail.com,Ja
25025776,01/08/1990,,SPS-ip Siunnersorteqarfia,Augo Lyngesvej 1B - Postboks 229 - 3920 Qaqortoq,3920,Qaqortoq,Forening,016200 Serviceydelser i forbindelse med husdyravl,641206,sps@sava.gl,Nej
36581980,25/03/2015,,Aabrinken Kogræsser- og Naturplejeforening,"C/O Mogens Hestbæk, C/O Mogens Hestbæk - Ole Rømers Gade 75 - 8000 Aarhus C",8000,Aarhus C,Forening,016200 Serviceydelser i forbindelse med husdyravl,40442201,mail@aako.dk,Ja
38832646,01/01/2017,,Dansk Blåkvæg,"C/O Anders Peter Vestergård Laursen, C/O Anders Peter Vestergård Laursen - Nykirkevej 2 - 7173 Vonge",7173,Vonge,Forening,016200 Serviceydelser i forbindelse med husdyravl,,karenborupth@gmail.com,Ja
21330086,01/12/1998,,UDVALGET FOR ØKOLOGISK GRÆSNING,Juelstrupparken 10A - 9530 Støvring,9530,Støvring,Forening,016200 Serviceydelser i forbindelse med husdyravl,98230193,ama@nfplus.dk,Ja
32813305,08/04/2010,,European Dairy Farmers - Danmark (EDF Danmark),Billundvej 3 - 6500 Vojens,6500,Vojens,Forening,016200 Serviceydelser i forbindelse med husdyravl,73202361,jtb@slf.dk,Ja
14917772,01/04/1991,30/06/2018,HATTING - KS,Oensvej 48 - 8700 Horsens,8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
39368412,01/06/1972,31/12/2016,B S J BORNHOLMS SVINE INSEMINERING,Rønnevej 1 - 3720 Aakirkeby,3720,Aakirkeby,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
29249261,15/02/2006,31/12/2010,Økologiske Sommeraftener,"C/O Sjællandske Familielandbrug, C/O Sjællandske Familielandbrug - Jættevej 50 - 4100 Ringsted",4100,Ringsted,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
19588092,01/04/1996,30/06/2008,LÆPLANTNINGSLAUG 9624,"C/O Økonomikonsulent Georg Hansen, C/O Økonomikonsulent Georg Hansen - Elmegården 2 - 4450 Jyderup",4450,Jyderup,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
33533500,24/03/2011,28/02/2022,onFARM,Kpt Andersens Gade 38 - 8700 Horsens,8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Ja
17518941,01/01/1994,30/06/2014,Landbrugets Hjemmeservice,"C/O Ulla Skov, C/O Ulla Skov - Rønnevej 1 - 3720 Aakirkeby",3720,Aakirkeby,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
19945790,18/03/1997,07/01/2015,HORSENS OG OMEGNS AVLS- OG INSEMINERINGSGRUPPE FOR BIAVL,"C/O Jens Bagge, C/O Jens Bagge - Tremhøjvej 11 - 8700 Horsens",8700,Horsens,Forening,016200 Serviceydelser i forbindelse med husdyravl,,,Nej
