Name,Date,legal form,Industry,Country
"Bürger-Energie Plüderhausen eG
b) Sitz, Niederlas",04.07.2012,cooperative,energy,Germany
"Bürger-Energie Oberharmersbach eG
b) Sitz, Nieder",24.06.2013,cooperative,energy,Germany
"Bürger-Energie Lüdenscheid e.G.
b) Sitz, Niederla",28.01.2015,cooperative,energy,Germany
"Bürger-Energie Lichtenau eG
b) Sitz, Niederlassun",17.04.2012,cooperative,energy,Germany
"Bürger-Energie Leinebergland eG
b) Sitz, Niederla",26.01.2010,cooperative,energy,Germany
"Bürger-Energie Hummetal eG
b) Sitz, Niederlassung",27.04.2010,cooperative,energy,Germany
"Bürger-Energie Unterkirnach eG
b) Sitz, Niederlas",27.04.2023,cooperative,energy,Germany
"Bürger-Energie Tübingen eG
b) Sitz, Niederlassung",19.03.2009,cooperative,energy,Germany
"Bürger-Energie Sendenhorst & Albersloh eG
b) Sitz",01.06.2011,cooperative,energy,Germany
"Bürger-Energie Südbaden eG
b) Sitz, Niederlassung",28.02.2012,cooperative,energy,Germany
"Bürger-Energie Schwarzwald eG
b) Sitz, Niederlass",09.04.2010,cooperative,energy,Germany
"Bürger-Energie Zittau-Görlitz eG
b) Sitz, Niederl",09.09.2009,cooperative,energy,Germany
"Bürger-Energie-Genossenschaft Berglern eG
b) Sitz",09.07.2020,cooperative,energy,Germany
Bürger-Energie-Genossenschaft Bad Lippspringe-Sch,04.11.2010,cooperative,energy,Germany
Bürger-Energie-Genossenschaft Altes Land und Horn,16.08.2023,cooperative,energy,Germany
"Bürger-Energie-Erdbach eG
b) Sitz, Niederlassung,",12.11.2022,cooperative,energy,Germany
"e: Genossenschaftsregister 
des Amtsgerichts Coesf",17.03.2010,cooperative,energy,Germany
"Bürger-Energie Zollernalb eG
b) Sitz, Niederlassu",23.02.2012,cooperative,energy,Germany
"Bürger-Energie-Genossenschaft Köllertal eG
b) Sit",07.05.2015,cooperative,energy,Germany
"Bürger-Energie-Genossenschaft Neubulach eG
b) Sit",11.10.2012,cooperative,energy,Germany
Bürger-Energie-Genossenschaft Neuburg-Schrobenhau,26.07.2013,cooperative,energy,Germany
"Bürger-Energie-Genossenschaft STeinfurt eG
b) Sit",02.01.2014,cooperative,energy,Germany
Bürger-Energie-Genossenschaft im Landkreis Kelhei,09.06.2011,cooperative,energy,Germany
Bürger-Energie-Genossenschaft im Landkreis Pfaffe,24.02.2012,cooperative,energy,Germany
"Bürger-Energie-Genossenschaft-Hofham eG
b) Sitz,",17.05.2019,cooperative,energy,Germany
"Bürger-Energie-Niedereschach eG
b) Sitz, Niederla",15.04.2010,cooperative,energy,Germany
"Bürger-Energie-Sauerlach eG
b) Sitz, Niederlassun",08.07.2019,cooperative,energy,Germany
"Bürger-Energie-Stuhr eG
b) Sitz, Niederlassung, i",24.09.2009,cooperative,energy,Germany
"Bürger-Energie-Syke eG
b) Sitz, Niederlassung, in",haftsregist,cooperative,energy,Germany
"Bürger-Energie-Unterhaching eG (BEU)
b) Sitz, Nie",19.03.2012,cooperative,energy,Germany
"Bürger-Energiegenossenschaft Alb-Donau eG
b) Sitz",17.08.2010,cooperative,energy,Germany
"Bürger-für-Bürger-Energie eG
b) Sitz, Niederlassu",22.05.2012,cooperative,energy,Germany
"Bürger.Energie.Wedemark eG
b) Sitz, Niederlassung",11.01.2021,cooperative,energy,Germany
"Bürger.Energie.Werl eG
b) Sitz, Niederlassung, in",11.02.2011,cooperative,energy,Germany
"BürgerEnergie Abtsgmünd eG
b) Sitz, Niederlassung",04.01.2014,cooperative,energy,Germany
"BürgerEnergie Bohmte eG
b) Sitz, Niederlassung, i",14.04.2010,cooperative,energy,Germany
"BürgerEnergie Bayerwald eG (BEB)
b) Sitz, Niederl",09.02.2023,cooperative,energy,Germany
"BürgerEnergie Bergisch Gladbach eG
b) Sitz, Niede",28.03.2023,cooperative,energy,Germany
"BürgerEnergie Buxtehude eG
b) Sitz, Niederlassung",21.01.2013,cooperative,energy,Germany
"BürgerEnergie Dortmund eG
b) Sitz, Niederlassung,",10.05.2023,cooperative,energy,Germany
"BürgerEnergie Göttingen eG
b) Sitz, Niederlassung",02.11.2023,cooperative,energy,Germany
"BürgerEnergie Hardegsen eG
b) Sitz, Niederlassung",27.09.2011,cooperative,energy,Germany
"BürgerEnergie Harz eG
b) Sitz, Niederlassung, inl",29.08.2018,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"BürgerEnergie Issum eG
b) Sitz, Niederlassung, in",30.01.2014,cooperative,energy,Germany
"BürgerEnergie Jena eG
b) Sitz, Niederlassung, inl",30.03.2011,cooperative,energy,Germany
"BürgerEnergie Lingelbach eG
b) Sitz, Niederlassun",09.09.2011,cooperative,energy,Germany
"BürgerEnergie Markt Wald eG
b) Sitz, Niederlassun",22.März 20,cooperative,energy,Germany
"BürgerEnergie Neckar-Odenwald eG
b) Sitz, Niederl",23.04.2012,cooperative,energy,Germany
"BürgerEnergie Nordschwarzwald eG
b) Sitz, Niederl",22.10.2012,cooperative,energy,Germany
"BürgerEnergie Ostfildern eG
b) Sitz, Niederlassun",25.07.2011,cooperative,energy,Germany
"BürgerEnergie Radolfshausen eG
b) Sitz, Niederlas",haftsregist,cooperative,energy,Germany
"BürgerEnergie Retzstadt eG
b) Sitz, Niederlassung",11.05.2011,cooperative,energy,Germany
"BürgerEnergie Rhein-Sieg eG
b) Sitz, Niederlassun",20.01.2011,cooperative,energy,Germany
"BürgerEnergie Stadt-Land-See eG
b) Sitz, Niederla",19.04.2010,cooperative,energy,Germany
"BürgerEnergie Solingen eG
b) Sitz, Niederlassung,",13.03.2014,cooperative,energy,Germany
"BürgerEnergie Siebengebirge eG
b) Sitz, Niederlas",29.09.2011,cooperative,energy,Germany
"BürgerEnergie Schwaikheim eG
b) Sitz, Niederlassu",25.06.2018,cooperative,energy,Germany
"BürgerEnergie Salzbödetal eG
b) Sitz, Niederlassu",28.07.2014,cooperative,energy,Germany
"BürgerEnergie Saale-Holzland eG
b) Sitz, Niederla",05.02.2013,cooperative,energy,Germany
"BürgerEnergie Steyerberg-Fernwärme eG
b) Sitz, Ni",02.02.2015,cooperative,energy,Germany
"BürgerEnergie Stuttgart eG
b) Sitz, Niederlassung",20.06.2009,cooperative,energy,Germany
"BürgerEnergie Südschwarzwald eG
b) Sitz, Niederla",23.07.2012,cooperative,energy,Germany
"BürgerEnergie Tauberfranken 2 eG
b) Sitz, Niederl",01.09.2011,cooperative,energy,Germany
"BürgerEnergie Zaber-Neckar e.G.
b) Sitz, Niederla",28.01.2010,cooperative,energy,Germany
"BürgerEnergie Wiesbaden eG
b) Sitz, Niederlassung",13.06.2023,cooperative,energy,Germany
"BürgerEnergie Vellberg-Bühlertal eG
b) Sitz, Nied",12.11.2021,cooperative,energy,Germany
"BürgerEnergie Tauberfranken eG
b) Sitz, Niederlas",13.07.2010,cooperative,energy,Germany
"BürgerEnergie Tauberfranken 3 eG
b) Sitz, Niederl",07.12.2012,cooperative,energy,Germany
"BürgerEnergie und Wissen Südniedersachsen eG
b) S",29.10.2010,cooperative,energy,Germany
"BürgerEnergie-Stauferland eG
b) Sitz, Niederlassu",18.06.2012,cooperative,energy,Germany
"BürgerEnergieAltmark eG
b) Sitz, Niederlassung, i",25.01.2012,cooperative,energy,Germany
"BürgerEnergieDornstadt eG
b) Sitz, Niederlassung,",16.05.2011,cooperative,energy,Germany
"BürgerEnergieEppelborn eG (BEE eG)
b) Sitz, Niede",19.09.2012,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Geisenhausen eG
b) Si",19.12.2011,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Lindenberg eG
b) Sitz",18.09.2013,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Leimen eG
b) Sitz, Ni",18.06.2012,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Kraichgau eG
b) Sitz,",24.03.2010,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Hochwald eG
b) Sitz,",24.01.2012,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Gemeinde Brest eG
b)",05.03.2021,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Nordeifel eG
b) Sitz,",08.03.2023,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Ruhr-West eG
b) Sitz,",22.01.2016,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Schaumburg eG
b) Sitz",28.10.2015,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Sottrum eG
b) Sitz, N",haftsregist,cooperative,energy,Germany
"BürgerEnergieGenossenschaft Wolfhagen eG
b) Sitz,",28.03.2012,cooperative,energy,Germany
"BürgerEnergieGenossenschaft eG
b) Sitz, Niederlas",08. Februa,cooperative,energy,Germany
BürgerEnergieGenossenschaft im Landkreis Bad Kiss,25.05.2023,cooperative,energy,Germany
BürgerEnergieGenossenschaft in der Samtgemeinde B,14.07.2008,cooperative,energy,Germany
"BürgerEnergieHof eG
b) Sitz, Niederlassung, inlän",17.02.2012,cooperative,energy,Germany
"BürgerEnergieRheinMain eG
b) Sitz, Niederlassung,",22.11.2012,cooperative,energy,Germany
"BürgerEnergieRösrath eG
b) Sitz, Niederlassung, i",10.05.2023,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Balingen eG
b) Sitz,",23.03.2009,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Bauland eG
b) Sitz, N",11.05.2021,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Berghülen eG
b) Sitz,",12.10.2012,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Birkenfeld eG
b) Sitz",25.07.2011,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Boxberg eG
b) Sitz, N",11.05.2017,cooperative,energy,Germany
BürgerEnergiegenossenschaft Dettingen unter Teck,23.02.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Durmersheim eG
b) Sit",22.03.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Eberhardzell eG
b) Si",28.07.2009,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Kurpfalz eG
b) Sitz,",26.10.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Laupheim eG
b) Sitz,",28.11.2011,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Leibertingen eG
b) Si",18.01.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Mietingen eG
b) Sitz,",03.08.2011,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Raum Neuenstadt eG
b)",01.07.2009,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Riss eG
b) Sitz, Nied",13.04.2010,cooperative,energy,Germany
BürgerEnergiegenossenschaft Rotach-Schussen-Argen,08.10.2008,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Sexau eG
b) Sitz, Nie",07.06.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Sonne und Wind eG
b)",10.11.2010,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Teningen eG
b) Sitz,",03.12.2009,cooperative,energy,Germany
"BürgerEnergiegenossenschaft Voralb-Schurwald eG
b",16.07.2009,cooperative,energy,Germany
"Bürgerenergie Schopfloch eG
b) Sitz, Niederlassun",23.01.2018,cooperative,energy,Germany
"Bürgerenergie Windpark Lauterstein eG
b) Sitz, Ni",27.01.2016,cooperative,energy,Germany
"Bürgerenergiegenossenschaft Biberach eG
b) Sitz,",02.10.2012,cooperative,energy,Germany
Bürgergenossenschaft Energie Hörselberg-Hainich e,16.12.2015,cooperative,energy,Germany
Bürgergenossenschaft EnergieWende Erlangen und Er,02.03.2002,cooperative,energy,Germany
Bürgergenossenschaft Rheinhessen eG - regenerativ,19.11.2009,cooperative,energy,Germany
"Bürgerwindrad Blauen Erneuerbare Energien eG
b) S",21.12.2011,cooperative,energy,Germany
"Consilium Erneuerbare Energien eG
b) Sitz, Nieder",01.02.2013,cooperative,energy,Germany
"DBE Deutsche Bio-Energie eG
b) Sitz, Niederlassun",11.08.2010,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"DENKOO Deutsche EnergieKooperation eG
b) Sitz, Ni",22.07.2011,cooperative,energy,Germany
"DEW Energie-Genossenschaft eG
b) Sitz, Niederlass",05.04.2019,cooperative,energy,Germany
"DeBE Deutsche BürgerEnergie eG
b) Sitz, Niederlas",27.05.2011,cooperative,energy,Germany
"Delitzscher Bürger-Energie eG
b) Sitz, Niederlass",28.11.2017,cooperative,energy,Germany
"Die BürgerEnergie eG
b) Sitz, Niederlassung, inlä",20.12.2012,cooperative,energy,Germany
"Dolfenger Energie eG
b) Sitz, Niederlassung, inlä",29.03.2023,cooperative,energy,Germany
"Donau-Energie eG
b) Sitz, Niederlassung, inländis",02.08.2023,cooperative,energy,Germany
ECFI Energie Cooperative Frankfurt Innenstadt eG,20.07.2011,cooperative,energy,Germany
"EGW Energie Wiesmoor eG
b) Sitz, Niederlassung, i",25.10.2010,cooperative,energy,Germany
"ENERGIE NORD eG
b) Sitz, Niederlassung, inländisc",28.06.2022,cooperative,energy,Germany
"EPZ Energie-Produkt Ziegendorf eG
b) Sitz, Nieder",haftsregist,cooperative,energy,Germany
EUGENO Genossenschaft für Erneuerbare Energien eG,haftsregist,cooperative,energy,Germany
"EVG Energie pro Vita Genossenschaft eG
b) Sitz, N",21.09.2011,cooperative,energy,Germany
"EVOK Energie-Versorgung Oy- Kressen eG.
b) Sitz,",01.06.1922,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"Energie + Umwelt eG, Neckar-Odenwald-Main-Tauber",19.04.2011,cooperative,energy,Germany
"Energie - und Wohnpark Warensberg eG
b) Sitz, Nie",22.09.2017,cooperative,energy,Germany
"Energie Genossenschaft Inn-Salzach eG (EGIS)
b) S",22.01.2013,cooperative,energy,Germany
"Energie Zapf eG
b) Sitz, Niederlassung, inländisc",01.09.2022,cooperative,energy,Germany
"Energie Wasenberg eG
b) Sitz, Niederlassung, inlä",21.08.2014,cooperative,energy,Germany
"Energie Visbek-Bakum eG
b) Sitz, Niederlassung, i",29.10.2009,cooperative,energy,Germany
"Energie Stausebach eG
b) Sitz, Niederlassung, inl",21.12.2016,cooperative,energy,Germany
"Energie Nahe am Rhein eG
b) Sitz, Niederlassung,",30.08.2012,cooperative,energy,Germany
"Energie Mitwitz eG
b) Sitz, Niederlassung, inländ",22.09.2009,cooperative,energy,Germany
"Energie Geyern eG
b) Sitz, Niederlassung, inländi",28.08.2014,cooperative,energy,Germany
"Energie aus Bürgerhand Hägelberg eG
b) Sitz, Nied",09.11.2009,cooperative,energy,Germany
"Energie für Menschen in Mecklenburg eG
b) Sitz, N",23.08.2023,cooperative,energy,Germany
"Energie eG, Böhmetal
b) Sitz, Niederlassung, inlä",22.04.2010,cooperative,energy,Germany
"Energie eG, Schneverdingen
b) Sitz, Niederlassung",24.07.2009,cooperative,energy,Germany
"Energie für Bürger Mehrstetten eG
b) Sitz, Nieder",28.07.2020,cooperative,energy,Germany
"Energie für Mannebach eG
b) Sitz, Niederlassung,",24.02.2012,cooperative,energy,Germany
"Energie für Saerbeck eG
b) Sitz, Niederlassung, i",14.12.2009,cooperative,energy,Germany
"Energie für den Kreis Höxter eG
b) Sitz, Niederla",02.10.2012,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"Energie und Speichertechnik e.G.
b) Sitz, Niederl",18.08.2012,cooperative,energy,Germany
Energie- und Agrargenossenschaft Haseltal / Thüri,23.02.2012,cooperative,energy,Germany
Energie- und Dienstleistungsgenossenschaft Dachri,13.04.2023,cooperative,energy,Germany
Energie-Bürger-Genossenschaft Delbrück-Hövelhof e,25.01.2010,cooperative,energy,Germany
"Energie-Genossenschaft Altmark eG
b) Sitz, Nieder",10.01.2012,cooperative,energy,Germany
"Energie-Genossenschaft Bergisches Land eG
b) Sitz",15.12.2008,cooperative,energy,Germany
"Energie-Genossenschaft Hohnhausen eG
b) Sitz, Nie",15.05.2019,cooperative,energy,Germany
"Energie-Genossenschaft Mittelberg eG
b) Sitz, Nie",11.05.1937,cooperative,energy,Germany
"Energie-Genossenschaft Otterndorf eG
b) Sitz, Nie",10.09.2012,cooperative,energy,Germany
"Energie-Genossenschaft Weserbergland eG
b) Sitz,",18.02.2011,cooperative,energy,Germany
"Energie-für-uns eG
b) Sitz, Niederlassung, inländ",01.09.2008,cooperative,energy,Germany
"EnergieBuerGEr Gelsenkirchen eG
b) Sitz, Niederla",14.01.2013,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"EnergieGenossenschaft Bechstedt eG
b) Sitz, Niede",23.02.2012,cooperative,energy,Germany
"EnergieGenossenschaft KaufungerWald eG
b) Sitz, N",21.05.2012,cooperative,energy,Germany
"EnergieGenossenschaft Murrhardt (EGM) eG
b) Sitz,",15.02.2011,cooperative,energy,Germany
"EnergieGenossenschaft Schwüblingsen eG
b) Sitz, N",08.08.2017,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"EnergieNetz Hamburg eG
b) Sitz, Niederlassung, in",haftsregist,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"Energiegenossenschaft Gussenstadt eG
b) Sitz, Nie",19.06.2012,cooperative,energy,Germany
"Energiegenossenschaft Engelsbrand eG
b) Sitz, Nie",23.04.2010,cooperative,energy,Germany
"Energiegenossenschaft Dürmentingen eG
b) Sitz, Ni",05.12.2016,cooperative,energy,Germany
"EnergieWerkStadt eG
b) Sitz, Niederlassung, inlän",05.03.2015,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
Energiegenossenschaft Neue Energien Ostsachsen eG,25.11.2013,cooperative,energy,Germany
"Energiegenossenschaft Untermain eG
b) Sitz, Niede",16.06.2010,cooperative,energy,Germany
"Energiegenossenschaft Virngrund eG
b) Sitz, Niede",21.01.2011,cooperative,energy,Germany
"Energieretten eG
b) Sitz, Niederlassung, inländis",01.01.2021,cooperative,energy,Germany
"Erneuerbare Energien Dieckmann eG
b) Sitz, Nieder",21.08.2023,cooperative,energy,Germany
"Erneuerbare Energien Kürnbach eG
b) Sitz, Niederl",17.10.2009,cooperative,energy,Germany
Erneuerbare Energien Vaihingen an der Enz und Umg,28.09.2010,cooperative,energy,Germany
"ErneuerbareEnergien Neckar-Alb eG
b) Sitz, Nieder",haftsregist,cooperative,energy,Germany
"Erzeugergemeinschaft für Energie in Bayern eG
b)",31.07.2015,cooperative,energy,Germany
"Europäische Energie Genossenschaft eG
b) Sitz, Ni",13.01.2011,cooperative,energy,Germany
"FWR Bürger Energie eG Markt Bibart
b) Sitz, Niede",18.12.2012,cooperative,energy,Germany
"Freie Energiegenossenschaft Isny im Allgäu eG
b)",10.07.2009,cooperative,energy,Germany
Friedensfördernde Energie-Genossenschaft Herford,20.10.2011,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie Atzhausen eG,17.11.2011,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie Burghaun eG,22.08.2011,cooperative,energy,Germany
"Friedrich-Wilhelm Raiffeisen Energie eG Creußen
b",haftsregist,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie eG Großbardo,04.11.2009,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie eG Hohenroth,15.03.2010,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie eG Münnersta,haftsregist,cooperative,energy,Germany
Friedrich-Wilhelm Raiffeisen Energie eG Sulzheim,22.11.2012,cooperative,energy,Germany
"Friedrich-Wilhelm Raiffeisen Energie eG
b) Sitz,",25.06.2008,cooperative,energy,Germany
Friedrich-Wilhelm-Raiffeisen Energie Eichenzell e,02.03.2012,cooperative,energy,Germany
"Friesdorfer-Energie-Genossenschaft eG
b) Sitz, Ni",21.10.2021,cooperative,energy,Germany
"GDE - Gloning Dienstleistung & Energie eG
b) Sitz",haftsregist,cooperative,energy,Germany
GL-Solar-Energie-Genossenschaft Bergisch Gladbach,18.08.2011,cooperative,energy,Germany
Gartenstadt Wohnen GWW eG Wohnungsgenossenschaft,29.07.2010,cooperative,energy,Germany
"GenoEnergie Karlstadt eG
b) Sitz, Niederlassung,",17.03.2010,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
Genossenschaft für erneuerbare Energien im Jerich,29.11.2012,cooperative,energy,Germany
"Gewerbepark Emmerke Energie eG
b) Sitz, Niederlas",08.09.2022,cooperative,energy,Germany
"Greußener Energien Genossenschaft (GEG) eG
b) Sit",06.09.2013,cooperative,energy,Germany
"GrünEnergie eG
b) Sitz, Niederlassung, inländisch",15.04.2011,cooperative,energy,Germany
"HEG Heidelberger Energiegenossenschaft eG
b) Sitz",08.09.2010,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"Kommunale Energie Regensburger Land eG
b) Sitz, N",07.12.2011,cooperative,energy,Germany
"KWGe - Klein-Winternheim gewinnt Energie e.G.
b)",31.01.2023,cooperative,energy,Germany
"KEEG eingetragene Genossenschaft
b) Sitz, Niederl",02.05.2018,cooperative,energy,Germany
"InnHügelLandEnergie eG
b) Sitz, Niederlassung, in",10.09.2021,cooperative,energy,Germany
"IngenieurNetzwerk Energie eG
b) Sitz, Niederlassu",haftsregist,cooperative,energy,Germany
"Lausitzer NaturEnergie eG
b) Sitz, Niederlassung,",21.10.2012,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
"LandEnergie Bürger eG
b) Sitz, Niederlassung, inl",26.04.2022,cooperative,energy,Germany
"KulturEnergieGenossenschaftAltona (KEGA) eG
b) Si",21.02.2015,cooperative,energy,Germany
"MEHR Energie eG, Mosel-Eifel-Hunsrück Regenerativ",09.05.2012,cooperative,energy,Germany
"NEUE ENERGIE Römerstein eG
b) Sitz, Niederlassung",31.01.2014,cooperative,energy,Germany
"gabe des aktuellen Registerinhalts -
Abruf vom 15.",be des aktu,cooperative,energy,Germany
